id,province,city,zip_code,area_code
1,山东,济南,250000,0531
2,江苏,常州,213000,0519
3,安徽,合肥,230000,0551
4,四川,宜宾,644000,0831
5,四川,自贡,643000,0813
6,陕西,西安,710000,029
7,江苏,南京,210000,025
8,湖北,武汉,430000,027
9,北京,北京,100000,010
10,天津,天津,300000,022
11,山东,淄博,255000,0533
12,山东,烟台,264000,0535
13,上海,上海,200000,021
14,江苏,无锡,214000,0510
15,广东,广州,510000,020
16,广西,南宁,530000,0771
17,湖北,荆门,448000,0724
18,山东,潍坊,261000,0536
19,浙江,温州,325000,0577
20,河南,郑州,450000,0371
21,甘肃,兰州,730000,0931
22,浙江,宁波,315000,0574
23,吉林,长春,130000,0431
24,辽宁,本溪,117000,024
25,辽宁,营口,115000,0417
26,辽宁,大连,116000,0411
27,内蒙古,包头,014000,0472
28,新疆,乌鲁木齐,830000,0991
29,黑龙江,佳木斯,154000,0454
30,黑龙江,哈尔滨,150000,0451
31,福建,福州,350000,0591
32,河北,保定,071000,0312
33,河北,唐山,063000,0315
34,河北,秦皇岛,066000,0335
35,河北,廊坊,065000,0316
36,河北,沧州,061000,0317
37,河北,邢台,054000,0319
38,河北,邯郸,056000,0310
39,河北,衡水,053000,0318
40,河北,石家庄,050000,0311
41,山东,滨州,256600,0543
42,山东,东营,257000,0546
43,山东,临沂,276000,0539
44,山东,日照,276800,0633
45,山东,枣庄,277000,0632
46,山东,威海,264200,0631
47,山东,青岛,266000,0532
48,山东,聊城,252000,0635
49,山东,德州,253000,0534
50,山东,泰安,271000,0538
51,山东,济宁,272000,0537
52,山东,菏泽,274000,0530
53,重庆,重庆,400000,023
54,辽宁,沈阳,110000,024
55,浙江,嘉兴,314000,0573
56,浙江,湖州,313000,0572
57,浙江,舟山,316000,0580
58,浙江,绍兴,312000,0575
59,浙江,衢州,324000,0570
60,浙江,金华,321000,0579
61,浙江,台州,318000,0576
62,浙江,丽水,323000,0578
63,山东,莱芜,271100,0634
64,四川,西昌,615000,0834
65,四川,攀枝花,617000,0812
66,四川,南充,637000,0817
67,四川,遂宁,629000,0825
68,四川,达州,635000,0818
69,四川,泸州,646000,0830
70,四川,内江,641000,0832
